experience_level,job_title,remote_ratio,company_size,adjusted_salary
SE,Analytics Engineer,In office,M,214200.0
SE,Data Engineer,In office,M,185900.0
SE,Data Engineer,In office,M,129300.0
SE,Data Engineer,In office,M,252000.0
SE,Data Engineer,In office,M,129000.0
MI,Data Analytics Manager,In office,M,155000.0
MI,Data Analytics Manager,In office,M,140000.0
SE,Data Engineer,Remote,M,161800.0
SE,Data Engineer,Remote,M,141600.0
SE,Machine Learning Engineer,In office,L,342300.0
SE,Machine Learning Engineer,In office,L,176100.0
MI,Data Engineer,Remote,M,100000.0
MI,Data Engineer,Remote,M,70000.0
EN,Data Engineer,In office,M,85000.0
EN,Data Engineer,In office,M,65000.0
SE,Data Scientist,Remote,M,138784.0
SE,Data Scientist,Remote,M,83270.0
EN,Data Analyst,In office,M,75000.0
EN,Data Analyst,In office,M,70000.0
SE,Data Analyst,In office,M,204500.0
SE,Data Analyst,In office,M,138900.0
SE,Machine Learning Engineer,Remote,M,318300.0
SE,Machine Learning Engineer,Remote,M,212200.0
SE,Data Engineer,Remote,M,95000.0
SE,Data Engineer,Remote,M,75000.0
SE,Data Scientist,In office,M,195000.0
SE,Data Scientist,In office,M,160000.0
SE,Analytics Engineer,In office,M,230000.0
SE,Analytics Engineer,In office,M,143200.0
MI,Data Engineer,Remote,M,100000.0
MI,Data Engineer,Remote,M,70000.0
MI,Business Data Analyst,Hybrid,L,105000.0
SE,Data Engineer,In office,M,145000.0
SE,Data Engineer,In office,M,115000.0
SE,Data Analyst,In office,M,168400.0
SE,Data Analyst,In office,M,105200.0
SE,Applied Scientist,In office,L,309400.0
SE,Applied Scientist,In office,L,159100.0
SE,Machine Learning Engineer,In office,M,190000.0
SE,Machine Learning Engineer,In office,M,150000.0
MI,Data Engineer,In office,M,162500.0
MI,Data Engineer,In office,M,130000.0
SE,Analytics Engineer,Remote,M,150000.0
SE,Analytics Engineer,Remote,M,120000.0
SE,Data Engineer,In office,M,145000.0
SE,Data Engineer,In office,M,120000.0
SE,Applied Scientist,In office,L,222200.0
SE,Applied Scientist,In office,L,136000.0
SE,Data Engineer,In office,M,241000.0
SE,Data Engineer,In office,M,155000.0
SE,Data Engineer,Remote,M,220000.0
SE,Data Engineer,Remote,M,190000.0
EN,Data Analyst,Remote,M,85000.0
EN,Data Analyst,Remote,M,75000.0
SE,Data Engineer,In office,M,160000.0
SE,Data Engineer,In office,M,140000.0
MI,Machine Learning Engineer,In office,M,300000.0
MI,Machine Learning Engineer,In office,M,250000.0
SE,Data Scientist,In office,M,228000.0
SE,Data Scientist,In office,M,186000.0
SE,Data Scientist,In office,M,190000.0
SE,Data Scientist,In office,M,170000.0
MI,Research Engineer,In office,M,230000.0
MI,Research Engineer,In office,M,200000.0
SE,Data Architect,Remote,M,180000.0
SE,Data Architect,Remote,M,115000.0
SE,Data Architect,Remote,M,200000.0
SE,Data Architect,Remote,M,115000.0
EX,Data Engineer,In office,M,220000.0
EX,Data Engineer,In office,M,205000.0
MI,Data Engineer,In office,M,180000.0
MI,Data Engineer,In office,M,130000.0
SE,Data Engineer,Remote,M,200000.0
SE,Data Engineer,Remote,M,150000.0
SE,Computer Vision Engineer,In office,M,215000.0
SE,Computer Vision Engineer,In office,M,170000.0
SE,Machine Learning Engineer,In office,M,247500.0
SE,Machine Learning Engineer,In office,M,172200.0
SE,Data Analyst,Remote,M,120000.0
SE,Data Analyst,Remote,M,75000.0
SE,Data Analyst,In office,M,140000.0
SE,Data Analyst,In office,M,120000.0
SE,Data Engineer,In office,M,128000.0
SE,Data Engineer,In office,M,81500.0
SE,Data Engineer,In office,M,145000.0
SE,Data Engineer,In office,M,115000.0
SE,Data Engineer,In office,M,185000.0
SE,Data Engineer,In office,M,140000.0
EX,Head of Data,In office,M,329500.0
EX,Head of Data,In office,M,269600.0
SE,Data Quality Analyst,In office,M,100000.0
SE,Data Quality Analyst,In office,M,80000.0
SE,Data Scientist,In office,M,250000.0
SE,Data Scientist,In office,M,162500.0
MI,AI Developer,Remote,M,200000.0
SE,Data Engineer,In office,M,145000.0
SE,Data Engineer,In office,M,100000.0
EX,Data Engineer,In office,M,145000.0
EX,Data Engineer,In office,M,115000.0
SE,Data Scientist,In office,M,203500.0
SE,Data Scientist,In office,M,152000.0
SE,Data Scientist,In office,L,239000.0
SE,Data Scientist,In office,L,122900.0
SE,Data Scientist,In office,M,237000.0
SE,Data Scientist,In office,M,145000.0
SE,Data Science Manager,In office,M,191765.0
SE,Data Science Manager,In office,M,134236.0
SE,Analytics Engineer,Remote,M,190000.0
SE,Analytics Engineer,Remote,M,112000.0
EN,Data Engineer,In office,M,85000.0
EN,Data Engineer,In office,M,65000.0
SE,Data Analyst,In office,M,135000.0
SE,Data Analyst,In office,M,105500.0
SE,Research Engineer,In office,M,293000.0
SE,Research Engineer,In office,M,185000.0
SE,Data Analyst,In office,M,80000.0
SE,Data Analyst,In office,M,70000.0
SE,Data Engineer,Remote,M,220000.0
SE,Data Engineer,Remote,M,160000.0
SE,Data Scientist,Remote,M,175000.0
SE,Data Scientist,Remote,M,145000.0
SE,Data Analyst,In office,M,200000.0
SE,Data Analyst,In office,M,148500.0
SE,Data Engineer,In office,L,240500.0
SE,Data Engineer,In office,L,123700.0
SE,Analytics Engineer,Remote,M,152900.0
SE,Analytics Engineer,Remote,M,117100.0
SE,Analytics Engineer,Remote,M,173000.0
SE,Analytics Engineer,Remote,M,113000.0
SE,Applied Scientist,In office,L,260000.0
SE,Applied Scientist,In office,L,136000.0
EX,Data Engineer,In office,M,175000.0
EX,Data Engineer,In office,M,110000.0
SE,Applied Scientist,In office,L,260000.0
SE,Applied Scientist,In office,L,136000.0
SE,Research Scientist,Remote,M,130000.0
SE,Research Scientist,Remote,M,110000.0
SE,Applied Scientist,Remote,M,205000.0
SE,Applied Scientist,Remote,M,184000.0
SE,Data Analyst,Remote,M,149500.0
SE,Data Analyst,Remote,M,127075.0
SE,Data Scientist,In office,M,195000.0
SE,Data Scientist,In office,M,160000.0
SE,Data Engineer,Remote,M,219535.0
SE,Data Engineer,Remote,M,146115.0
SE,Data Scientist,In office,M,170000.0
SE,Data Scientist,In office,M,135000.0
SE,Data Scientist,Remote,M,175000.0
SE,Data Scientist,Remote,M,145000.0
SE,Data Scientist,In office,M,199000.0
SE,Data Scientist,In office,M,162000.0
SE,Applied Scientist,In office,L,222200.0
SE,Applied Scientist,In office,L,136000.0
EX,Analytics Engineer,Remote,M,221000.0
EX,Analytics Engineer,Remote,M,153000.0
SE,Data Analyst,In office,M,187000.0
SE,Data Analyst,In office,M,128000.0
SE,Research Scientist,In office,M,210000.0
SE,Research Scientist,In office,M,136000.0
SE,Data Scientist,Remote,M,175000.0
SE,Data Scientist,Remote,M,100000.0
SE,Data Engineer,In office,M,179000.0
SE,Data Engineer,In office,M,109000.0
SE,Data Scientist,In office,M,245000.0
SE,Data Scientist,In office,M,180000.0
SE,Data Analyst,Remote,M,142000.0
SE,Data Analyst,Remote,M,75000.0
SE,Data Manager,In office,M,198800.0
SE,Data Manager,In office,M,105200.0
SE,Data Analyst,Remote,M,125000.0
SE,Data Analyst,Remote,M,112000.0
SE,Data Scientist,In office,M,210000.0
SE,Data Scientist,In office,M,155000.0
SE,Data Manager,Remote,M,115000.0
SE,Data Manager,Remote,M,86000.0
SE,Data Scientist,In office,M,165000.0
SE,Data Scientist,In office,M,140000.0
SE,Data Analyst,In office,M,139000.0
SE,Data Analyst,In office,M,106000.0
MI,Machine Learning Engineer,Remote,M,280700.0
MI,Machine Learning Engineer,Remote,M,150450.0
SE,Data Architect,In office,M,250500.0
SE,Data Architect,In office,M,159500.0
SE,Data Engineer,In office,M,145000.0
SE,Data Engineer,In office,M,115000.0
SE,Data Analyst,In office,M,140000.0
SE,Data Analyst,In office,M,120000.0
EN,Data Scientist,Remote,M,130001.0
EN,Data Scientist,Remote,M,71907.0
MI,Data Scientist,Remote,M,93918.0
MI,Data Scientist,Remote,M,51962.0
EN,Data Engineer,In office,M,85000.0
EN,Data Engineer,In office,M,65000.0
SE,Machine Learning Engineer,In office,M,257000.0
SE,Machine Learning Engineer,In office,M,147000.0
SE,Data Engineer,Remote,M,222000.0
SE,Data Engineer,Remote,M,175000.0
SE,Data Scientist,Remote,M,203000.0
SE,Data Scientist,Remote,M,133200.0
EN,Applied Scientist,In office,L,213660.0
EN,Applied Scientist,In office,L,130760.0
SE,Data Engineer,In office,M,221000.0
SE,Data Engineer,In office,M,147000.0
SE,Data Quality Analyst,In office,M,100000.0
SE,Data Quality Analyst,In office,M,80000.0
SE,Data Scientist,In office,M,185900.0
SE,Data Scientist,In office,M,129300.0
SE,Data Scientist,Remote,M,238000.0
SE,Data Scientist,Remote,M,156000.0
SE,Machine Learning Engineer,Remote,M,304000.0
SE,Machine Learning Engineer,Remote,M,199000.0
SE,Data Engineer,In office,M,150000.0
SE,Data Engineer,In office,M,130000.0
SE,Data Scientist,Remote,M,140000.0
SE,Data Scientist,Remote,M,110000.0
MI,Data Analyst,In office,M,90000.0
MI,Data Analyst,In office,M,75000.0
SE,Data Engineer,In office,M,240000.0
SE,Data Engineer,In office,M,183600.0
MI,Data Specialist,In office,M,130000.0
MI,Data Specialist,In office,M,80000.0
SE,Data Engineer,In office,M,250000.0
SE,Data Engineer,In office,M,150000.0
SE,Data Analytics Manager,Remote,M,160000.0
SE,Data Analytics Manager,Remote,M,120000.0
SE,Machine Learning Engineer,In office,M,289076.0
SE,Machine Learning Engineer,In office,M,202353.0
SE,Data Engineer,In office,M,145000.0
SE,Data Engineer,In office,M,120000.0
SE,Data Analyst,In office,M,155000.0
SE,Data Analyst,In office,M,106000.0
SE,Data Engineer,In office,M,200000.0
SE,Data Engineer,In office,M,160000.0
SE,Data Scientist,Remote,M,157750.0
SE,Data Scientist,Remote,M,104650.0
MI,Data Scientist,Remote,M,180000.0
MI,Data Scientist,Remote,M,140000.0
EX,Data Scientist,In office,M,200000.0
EX,Data Scientist,In office,M,145000.0
MI,Lead Data Analyst,In office,L,68000.0
EN,BI Data Engineer,Remote,M,60000.0
EN,Data Engineer,In office,M,85000.0
EN,Data Engineer,In office,M,65000.0
MI,Data Engineer,In office,M,125000.0
MI,Data Engineer,In office,M,90000.0
SE,Data Analyst,Remote,M,105000.0
SE,Data Analyst,Remote,M,90000.0
SE,Analytics Engineer,In office,M,179820.0
SE,Analytics Engineer,In office,M,143860.0
SE,Data Analyst,In office,M,135000.0
SE,Data Analyst,In office,M,105500.0
EN,Research Engineer,In office,M,155000.0
EN,Research Engineer,In office,M,125000.0
SE,Machine Learning Engineer,In office,M,241000.0
SE,Machine Learning Engineer,In office,M,181000.0
SE,Data Scientist,In office,M,252000.0
SE,Data Scientist,In office,M,154000.0
EX,Data Architect,In office,M,180000.0
EX,Data Architect,In office,M,155000.0
SE,Data Scientist,In office,M,191765.0
SE,Data Scientist,In office,M,134236.0
SE,Data Scientist,Remote,M,175000.0
SE,Data Scientist,Remote,M,145000.0
SE,Data Scientist,Remote,M,237000.0
SE,Data Scientist,Remote,M,145000.0
EN,Research Engineer,In office,M,155000.0
EN,Research Engineer,In office,M,125000.0
SE,Data Analyst,In office,M,80000.0
SE,Data Analyst,In office,M,70000.0
SE,Data Engineer,In office,M,146000.0
SE,Data Engineer,In office,M,75000.0
EN,Data Analyst,Remote,M,64200.0
EN,Data Analyst,Remote,M,56100.0
SE,Machine Learning Engineer,In office,M,170000.0
SE,Machine Learning Engineer,In office,M,130000.0
SE,Data Analyst,Remote,M,208450.0
SE,Data Analyst,Remote,M,170550.0
SE,Machine Learning Engineer,In office,M,125000.0
SE,Machine Learning Engineer,In office,M,100000.0
MI,Data Manager,In office,M,135000.0
MI,Data Manager,In office,M,120000.0
SE,Data Scientist,Remote,M,200000.0
SE,Data Scientist,Remote,M,170000.0
SE,Applied Scientist,In office,L,222200.0
SE,Applied Scientist,In office,L,136000.0
SE,Applied Scientist,In office,L,260000.0
SE,Applied Scientist,In office,L,136000.0
SE,Data Analyst,In office,M,153600.0
SE,Data Analyst,In office,M,100500.0
SE,Applied Scientist,Remote,M,205000.0
SE,Applied Scientist,Remote,M,184000.0
MI,Data Analyst,In office,M,182500.0
MI,Data Analyst,In office,M,121500.0
SE,Data Engineer,In office,M,203100.0
SE,Data Engineer,In office,M,114500.0
SE,Data Engineer,In office,M,252000.0
SE,Data Engineer,In office,M,129000.0
EN,Data Engineer,Remote,M,92700.0
EN,Data Engineer,Remote,M,61800.0
SE,Data Engineer,Remote,M,160000.0
SE,Data Engineer,Remote,M,130000.0
SE,Data Scientist,In office,M,170000.0
SE,Data Scientist,In office,M,135000.0
MI,Data Architect,In office,M,167500.0
MI,Data Architect,In office,M,106500.0
SE,Data Scientist,In office,M,195000.0
SE,Data Scientist,In office,M,160000.0
MI,Data Engineer,In office,M,146000.0
MI,Data Engineer,In office,M,75000.0
EX,Data Engineer,Remote,M,286000.0
EX,Data Engineer,Remote,M,207000.0
SE,Data Analyst,Remote,M,100000.0
SE,Data Analyst,Remote,M,80000.0
SE,Data Engineer,In office,M,223250.0
SE,Data Engineer,In office,M,178600.0
EX,Director of Data Science,In office,M,353200.0
EX,Director of Data Science,In office,M,249300.0
MI,Machine Learning Scientist,In office,M,230000.0
MI,Machine Learning Scientist,In office,M,220000.0
SE,Data Scientist,Remote,M,297300.0
SE,Data Scientist,Remote,M,198200.0
MI,Research Scientist,Remote,M,210000.0
MI,Research Scientist,Remote,M,151800.0
SE,Data Scientist,Remote,M,200000.0
SE,Data Scientist,Remote,M,170000.0
SE,Data Scientist,In office,M,317070.0
SE,Data Scientist,In office,M,170730.0
SE,Data Engineer,In office,M,128000.0
SE,Data Engineer,In office,M,81500.0
MI,MLOps Engineer,Remote,M,134000.0
MI,MLOps Engineer,Remote,M,124000.0
SE,Data Engineer,In office,M,171250.0
SE,Data Engineer,In office,M,113750.0
SE,Data Engineer,In office,M,165000.0
SE,Data Engineer,In office,M,132300.0
SE,Data Scientist,In office,M,225000.0
SE,Data Scientist,In office,M,175000.0
SE,Data Engineer,In office,M,230000.0
SE,Data Engineer,In office,M,124500.0
SE,Machine Learning Engineer,In office,M,247500.0
SE,Machine Learning Engineer,In office,M,172200.0
SE,Data Analyst,In office,M,175000.0
SE,Data Analyst,In office,M,145000.0
SE,Data Analyst,In office,M,148700.0
SE,Data Analyst,In office,M,125600.0
SE,Data Engineer,In office,M,145000.0
SE,Data Engineer,In office,M,115000.0
SE,Research Scientist,In office,M,200000.0
SE,Research Scientist,In office,M,150000.0
EN,Research Engineer,In office,M,160000.0
EN,Research Engineer,In office,M,120000.0
SE,Data Analyst,Remote,M,185000.0
SE,Data Analyst,Remote,M,120250.0
SE,Data Scientist,Remote,M,275300.0
SE,Data Scientist,Remote,M,183000.0
SE,Data Architect,Remote,M,170000.0
SE,Data Architect,Remote,M,125000.0
MI,Data Architect,In office,M,167500.0
MI,Data Architect,In office,M,106500.0
SE,Research Scientist,In office,M,250000.0
SE,Research Scientist,In office,M,200000.0
MI,Machine Learning Engineer,Hybrid,L,135000.0
SE,Machine Learning Engineer,Remote,M,216000.0
SE,Machine Learning Engineer,Remote,M,184000.0
SE,Data Engineer,Remote,M,180000.0
SE,Data Engineer,Remote,M,165000.0
SE,Data Scientist,In office,M,185900.0
SE,Data Scientist,In office,M,129300.0
SE,Data Engineer,In office,M,145000.0
SE,Data Engineer,In office,M,120000.0
MI,Data Engineer,In office,M,143865.0
MI,Data Engineer,In office,M,115092.0
MI,Machine Learning Engineer,In office,M,130000.0
MI,Machine Learning Engineer,In office,M,90000.0
SE,Data Scientist,Remote,M,173000.0
SE,Data Scientist,Remote,M,132000.0
SE,Data Analyst,In office,M,208049.0
SE,Data Analyst,In office,M,128500.0
SE,Analytics Engineer,In office,M,179820.0
SE,Analytics Engineer,In office,M,143860.0
SE,Data Engineer,In office,M,167500.0
SE,Data Engineer,In office,M,106500.0
SE,Data Scientist,Remote,M,275300.0
SE,Data Scientist,Remote,M,183500.0
MI,Data Engineer,In office,M,149600.0
MI,Data Engineer,In office,M,102000.0
EX,Data Scientist,In office,M,145000.0
EX,Data Scientist,In office,M,100000.0
SE,Data Analyst,Remote,M,190000.0
SE,Data Analyst,Remote,M,95000.0
SE,Data Analyst,In office,M,153600.0
SE,Data Analyst,In office,M,106800.0
MI,Data Analyst,In office,M,128000.0
MI,Data Analyst,In office,M,85000.0
MI,Data Engineer,In office,M,151000.0
MI,Data Engineer,In office,M,140000.0
SE,Data Scientist,Remote,M,275300.0
SE,Data Scientist,Remote,M,183500.0
SE,Machine Learning Scientist,In office,M,220000.0
SE,Machine Learning Scientist,In office,M,170000.0
SE,Data Analyst,In office,M,135000.0
SE,Data Analyst,In office,M,105500.0
SE,Data Analyst,Remote,M,100000.0
SE,Data Analyst,Remote,M,80000.0
MI,Data Analyst,In office,M,154000.0
MI,Data Analyst,In office,M,143000.0
EN,Data Scientist,In office,M,190000.0
EN,Data Scientist,In office,M,120000.0
SE,Data Engineer,In office,M,150000.0
SE,Data Engineer,In office,M,111000.0
EX,Data Engineer,In office,M,265000.0
EX,Data Engineer,In office,M,235000.0
SE,Data Engineer,Remote,M,160000.0
SE,Data Engineer,Remote,M,130000.0
MI,Data Engineer,Remote,M,75000.0
MI,Data Engineer,Remote,M,60400.0
EN,Data Analyst,Remote,M,85000.0
EN,Data Analyst,Remote,M,75000.0
SE,Data Engineer,In office,M,252000.0
SE,Data Engineer,In office,M,129000.0
EN,Data Engineer,Remote,M,92700.0
EN,Data Engineer,Remote,M,61800.0
MI,Data Analyst,Remote,M,83500.0
MI,Data Analyst,Remote,M,52500.0
SE,Data Scientist,In office,M,201036.0
SE,Data Scientist,In office,M,134024.0
SE,Data Analyst,Remote,M,165000.0
SE,Data Analyst,Remote,M,140000.0
EN,Data Engineer,Remote,M,62000.0
EN,Data Engineer,Remote,M,58000.0
SE,Data Scientist,In office,M,172000.0
SE,Data Scientist,In office,M,115000.0
EN,Data Engineer,In office,M,125000.0
EN,Data Engineer,In office,M,90000.0
SE,Data Engineer,In office,M,163800.0
SE,Data Engineer,In office,M,126000.0
SE,Data Scientist,Remote,M,237000.0
SE,Data Scientist,Remote,M,145000.0
MI,Data Engineer,Remote,M,90000.0
MI,Data Engineer,Remote,M,90000.0
SE,Data Engineer,In office,M,139500.0
SE,Data Engineer,In office,M,109400.0
MI,Data Engineer,In office,M,145000.0
MI,Data Engineer,In office,M,120000.0
SE,Data Engineer,In office,L,205600.0
SE,Data Engineer,In office,L,105700.0
SE,Data Engineer,In office,M,252000.0
SE,Data Engineer,In office,M,129000.0
SE,Data Scientist,In office,M,239748.0
SE,Data Scientist,In office,M,159832.0
SE,Data Scientist,Remote,M,186300.0
SE,Data Scientist,Remote,M,102500.0
SE,Data Engineer,In office,M,165000.0
SE,Data Engineer,In office,M,132300.0
SE,Data Scientist,In office,M,190000.0
SE,Data Scientist,In office,M,126000.0
SE,Data Architect,Remote,M,149040.0
SE,Data Architect,Remote,M,113900.0
SE,Data Engineer,Remote,M,153600.0
SE,Data Engineer,Remote,M,106800.0
SE,Data Engineer,Remote,M,172600.0
SE,Data Engineer,Remote,M,107900.0
SE,Data Analyst,In office,M,180180.0
SE,Data Analyst,In office,M,106020.0
SE,Data Architect,Remote,M,376080.0
SE,Data Architect,Remote,M,213120.0
SE,Data Analyst,In office,M,153600.0
SE,Data Analyst,In office,M,100500.0
SE,Data Analyst,Remote,M,206500.0
SE,Data Analyst,Remote,M,121600.0
SE,Data Engineer,In office,M,260000.0
SE,Data Engineer,In office,M,225000.0
EX,Data Engineer,In office,M,194500.0
EX,Data Engineer,In office,M,115500.0
SE,Cloud Database Engineer,Remote,L,170000.0
SE,Applied Machine Learning Scientist,Remote,L,90000.0
EN,Data Analyst,Remote,M,95000.0
EN,Data Analyst,Remote,M,70000.0
SE,Data Engineer,In office,M,275000.0
SE,Data Engineer,In office,M,160000.0
SE,Data Analyst,Remote,M,115934.0
SE,Data Analyst,Remote,M,81666.0
SE,Data Scientist,In office,M,175000.0
SE,Data Scientist,In office,M,120000.0
SE,Machine Learning Engineer,Remote,M,150000.0
SE,Machine Learning Engineer,Remote,M,120000.0
SE,Research Engineer,In office,M,200000.0
SE,Research Engineer,In office,M,175000.0
MI,Data Analyst,In office,M,206000.0
MI,Data Analyst,In office,M,130000.0
SE,Data Analyst,Remote,M,110000.0
SE,Data Analyst,Remote,M,75000.0
SE,Analytics Engineer,In office,M,130000.0
SE,Analytics Engineer,In office,M,87000.0
MI,Data Analyst,In office,M,160000.0
MI,Data Analyst,In office,M,112000.0
MI,Data Engineer,In office,M,162500.0
MI,Data Engineer,In office,M,130000.0
SE,Data Science Manager,In office,M,299500.0
SE,Data Science Manager,In office,M,245100.0
MI,Data Scientist,In office,M,145000.0
MI,Data Scientist,In office,M,100000.0
SE,Data Engineer,In office,M,147100.0
SE,Data Engineer,In office,M,90700.0
EN,Data Engineer,In office,M,115100.0
EN,Data Engineer,In office,M,73900.0
SE,Data Engineer,In office,M,168400.0
SE,Data Engineer,In office,M,105200.0
SE,Data Scientist,In office,M,210000.0
SE,Data Scientist,In office,M,160000.0
MI,Data Scientist,In office,M,145000.0
MI,Data Scientist,In office,M,100000.0
SE,Applied Scientist,In office,L,222200.0
SE,Applied Scientist,In office,L,136000.0
MI,Data Analyst,In office,M,100000.0
MI,Data Analyst,In office,M,85000.0
EX,Data Scientist,In office,M,200000.0
EX,Data Scientist,In office,M,145000.0
MI,Data Engineer,In office,M,140000.0
MI,Data Engineer,In office,M,95000.0
SE,Data Analyst,Remote,M,185000.0
SE,Data Analyst,Remote,M,120250.0
MI,Financial Data Analyst,Remote,L,130000.0
SE,Data Scientist,In office,M,205000.0
SE,Data Scientist,In office,M,140000.0
SE,Data Scientist,Remote,M,297300.0
SE,Data Scientist,Remote,M,198200.0
SE,Research Scientist,In office,M,141288.0
SE,Research Scientist,In office,M,94192.0
SE,Data Infrastructure Engineer,Remote,M,184000.0
SE,Data Infrastructure Engineer,Remote,M,143000.0
SE,Data Analyst,In office,M,70000.0
SE,Data Analyst,In office,M,55000.0
SE,Analytics Engineer,Remote,M,275300.0
SE,Analytics Engineer,Remote,M,183500.0
MI,Data Analyst,Remote,M,75000.0
MI,Data Analyst,Remote,M,65000.0
MI,ML Engineer,In office,M,160000.0
MI,ML Engineer,In office,M,147000.0
SE,Data Architect,Remote,M,149040.0
SE,Data Architect,Remote,M,113900.0
SE,Data Analyst,In office,M,180180.0
SE,Data Analyst,In office,M,106020.0
MI,Machine Learning Engineer,In office,M,250000.0
MI,Machine Learning Engineer,In office,M,150000.0
SE,Data Engineer,In office,M,139500.0
SE,Data Engineer,In office,M,109400.0
SE,Data Scientist,In office,M,105000.0
SE,Data Scientist,In office,M,70000.0
EX,Data Engineer,Remote,M,210914.0
EX,Data Engineer,Remote,M,116704.0
EN,Research Scientist,In office,M,150000.0
EN,Research Scientist,In office,M,100000.0
SE,Data Engineer,In office,M,146000.0
SE,Data Engineer,In office,M,75000.0
EN,Data Analyst,Remote,M,75000.0
EN,Data Analyst,Remote,M,60000.0
MI,Analytics Engineer,In office,M,185700.0
MI,Analytics Engineer,In office,M,165000.0
SE,Data Engineer,Remote,M,160000.0
SE,Data Engineer,Remote,M,130000.0
SE,Data Analyst,In office,M,169000.0
SE,Data Analyst,In office,M,110600.0
SE,Data Operations Engineer,Remote,M,193000.0
SE,Data Operations Engineer,Remote,M,136850.0
